categ_code;Libellé catégorie;Libéllé catégorie n2;Domaine;Autorité compétente 1;Autorité compétente 2;Commentaire;Commentaire OCTO
285;Centres de Loisirs sans Hébergement;Etablissements et Services Sociaux d'Aide à la Famille;;Hors périmètre;;;Reste à renseigner
286;Club Equipe de Prévention;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;Message de redirection vers le 119;;;Que fait-on pour la redirection ?
289;Centre de Soins Infirmiers;Autres Etablissements de Soins et Prévention;;ARS;;;Reste à renseigner
292;Centre Hospitalier Spécialisé lutte Maladies Mentales;Etablissements Hospitaliers;Sanitaire;ARS;;;
294;Centre de Consultations Cancer;Autres Etablissements de Soins et Prévention;Sanitaire;ARS;;;
295;Services AEMO et AED;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;CD;;;
297;Dispensaire Polyvalent;Autres Etablissements de Soins et Prévention;;A voir en atelier ;;;Reste à renseigner
300;Ecoles Formant aux Professions Sanitaires;Etablissements de Formation des Personnels Sanitaires;Formation;DREETS;;;Actuellement le referentiel des contacts ne contient pas la colonne DREETS, la rajouter ?
303;Ecole de conseillers en économie sociale et familiale;Etablissements de Formation des Personnels Sociaux;formation ;A voir en atelier ;;;Reste à renseigner
304;Ecole d'ergothérapeutes;Etablissements de Formation des Personnels Sanitaires;formation ;A voir en atelier ;;;Reste à renseigner
306;Ecole d'infirmiers anesthésistes;Etablissements de Formation des Personnels Sanitaires;formation ;A voir en atelier ;;;Reste à renseigner
307;Ecole d'infirmiers de bloc opératoire;Etablissements de Formation des Personnels Sanitaires;formation ;A voir en atelier ;;;Reste à renseigner
308;Centre de formation professionnelle de secteur psychiatrique;Etablissements de Formation des Personnels Sanitaires;formation ;A voir en atelier ;;;Reste à renseigner
313;Ecole d'éducateurs de jeunes enfants;Etablissements de Formation des Personnels Sociaux;formation ;A voir en atelier ;;;Reste à renseigner
315;Ecole de moniteurs-éducateurs;Etablissements de Formation des Personnels Sociaux;formation ;A voir en atelier ;;;Reste à renseigner
316;Ecole d'aides médico-psychologiques;Etablissements de Formation des Personnels Sociaux;formation ;A voir en atelier ;;;Reste à renseigner
319;Inst. régional de formation des travailleurs sociaux;Etablissements de Formation des Personnels Sociaux;formation ;A voir en atelier ;;;Reste à renseigner
324;Logement Foyer non Spécialisé;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;A voir en atelier ;;;Reste à renseigner
327;Services d'Ambulances;Autres Etablissements à Caractère Sanitaire;;ARS;;;Reste à renseigner
330;Ecoles Formant aux Professions Sociales;Etablissements de Formation des Personnels Sociaux;Formation;DREETS;;;Actuellement le referentiel des contacts ne contient pas la colonne DREETS, la rajouter ?
340;Service mandataire judiciaire à la protection des majeurs;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
